country,year,offshore,entsoe_offshore_wind_generation,entsoe_offshore_wind_installed_capacity,opsd_offshore_wind_generation,opsd_offshore_wind_installed_capacity,entsoe_onshore_wind_generation,entsoe_onshore_wind_installed_capacity,opsd_onshore_wind_generation,opsd_onshore_wind_installed_capacity,ei_wind_installed_capacity,entsoe_solar_generation,entsoe_solar_installed_capacity,opsd_solar_generation,opsd_solar_installed_capacity,ei_solar_installed_capacity,entsoe_reservoir_filling_level,entsoe_hydropower_inflow
Spain,2018,True,0.0,0.0,,,16063.0,22834.0,16063.0,,23405.06,5792.0,6722.0,5792.0,,7067.67,12408446.0,2150825.0
Spain,2019,True,0.0,0.0,,,17343.0,22961.0,17343.0,,25590.08,6748.0,6751.0,6748.0,,11111.210000000001,9927860.0,1486467.0
Sweden,2015,True,,,,191.0,4958.0,3500.0,4958.0,5698.0,5819.0,,,,,104.0,30694000.0,4640120.0
Sweden,2016,True,,,,191.0,5410.0,5493.0,5410.0,6203.0,6435.0,,,,,153.0,23841000.0,4226668.0
Sweden,2017,True,,,,191.0,5523.0,5960.0,5523.0,6430.0,6611.0,,,,,244.0,27470000.0,4114897.0
Sweden,2018,True,,,,191.0,5842.0,6247.0,5842.0,7195.0,7300.0,,,,,428.0,23965000.0,5968359.0
Sweden,2019,True,,,,191.0,7315.0,7506.0,7315.0,8784.0,8681.0,,,,,714.0,27208000.0,3925447.0
Switzerland,2015,False,,,,,31.0,,30.94,44.0,,211.0,,211.36,547.0,1394.0,4964631.0,1159585.0
Switzerland,2016,False,,,,,31.0,,30.7,64.0,,276.0,,276.19,606.0,1664.0,5835405.0,736948.0
Switzerland,2017,False,,,,,39.0,,38.93,64.0,,405.0,,404.91,619.0,1906.0,5470263.0,685758.0
Switzerland,2018,False,,,,,37.0,,37.35,64.0,,327.0,,327.31,620.0,2173.0,6053548.0,1419297.0
Switzerland,2019,False,,,,,46.0,,45.69,64.0,,305.0,,305.19,620.0,2498.0,6572889.0,968311.0
United Kingdom,2015,True,4038.0,5041.0,,,6032.0,7859.0,,,14305.74,6785.0,1745.0,,,9601.22,,
United Kingdom,2016,True,3895.0,5011.0,,,6334.0,8562.0,,,16125.93,7335.0,3954.0,,,11914.02,,
United Kingdom,2017,True,4335.0,5471.0,,,6690.5,10150.0,,,19585.0,8720.0,8566.0,,,12760.02,,
United Kingdom,2018,True,4479.0,6071.0,,,8302.0,12144.0,,,21605.35,9030.0,12471.0,,,13059.07,,
United Kingdom,2019,True,6460.5,9379.0,,,7995.0,12638.0,,,23881.96,9160.0,13346.0,,,13224.03,,
